datetime,temperature_2m,relative_humidity_2m,cloud_cover,wind_speed_10m,wind_direction_100m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,rain,precipitation,evapotranspiration
2024-12-12 00:00,8.3,63,1,2.6,234,9.1,12.8,17.3,0.00,0.00,0.00
2024-12-12 01:00,7.2,56,0,3.7,202,8.7,12.9,17.3,0.00,0.00,0.01
2024-12-12 02:00,6.1,55,43,3.8,192,8.4,12.7,17.2,0.00,0.00,0.01
2024-12-12 03:00,5.7,61,79,3.5,210,8.2,12.5,17.2,0.00,0.00,0.00
2024-12-12 04:00,5.4,66,6,4.8,201,8.0,12.4,17.2,0.00,0.00,0.00
2024-12-12 05:00,5.0,71,28,3.9,225,7.8,12.2,17.2,0.00,0.00,0.00
2024-12-12 06:00,5.2,70,3,4.6,226,7.6,12.0,17.2,0.00,0.00,0.00
2024-12-12 07:00,5.0,68,0,4.6,225,7.4,11.9,17.1,0.00,0.00,0.00
2024-12-12 08:00,6.7,64,0,5.9,219,7.6,11.7,17.1,0.00,0.00,0.02
2024-12-12 09:00,11.4,57,0,6.3,226,8.9,11.6,17.1,0.00,0.00,0.09
2024-12-12 10:00,14.9,45,0,7.1,265,10.8,11.6,17.1,0.00,0.00,0.19
2024-12-12 11:00,16.8,38,0,6.6,289,12.6,11.7,17.1,0.00,0.00,0.26
2024-12-12 12:00,18.1,35,0,6.4,311,14.3,12.0,17.0,0.00,0.00,0.31
2024-12-12 13:00,18.9,34,0,7.1,334,15.1,12.2,17.0,0.00,0.00,0.32
2024-12-12 14:00,18.9,33,1,7.0,351,16.0,12.5,17.0,0.00,0.00,0.29
2024-12-12 15:00,17.8,41,1,9.6,40,16.2,12.8,17.0,0.00,0.00,0.23
2024-12-12 16:00,15.9,50,0,8.4,74,15.7,13.1,17.0,0.00,0.00,0.13
2024-12-12 17:00,12.4,57,0,6.9,91,14.4,13.3,17.0,0.00,0.00,0.04
2024-12-12 18:00,11.4,60,0,3.0,101,12.9,13.4,16.9,0.00,0.00,0.00
2024-12-12 19:00,10.5,63,0,0.7,78,11.8,13.4,16.9,0.00,0.00,0.00
2024-12-12 20:00,9.6,65,6,1.0,28,10.9,13.3,16.9,0.00,0.00,0.00
2024-12-12 21:00,8.6,67,21,4.1,282,10.2,13.2,16.9,0.00,0.00,0.00
2024-12-12 22:00,8.9,64,94,7.3,254,9.9,13.1,16.9,0.00,0.00,0.02
2024-12-12 23:00,10.1,60,72,6.6,242,10.1,13.0,16.9,0.00,0.00,0.02
